X	Y	Z	X	Y	Z	X	Y	Z
0.195801	-0.0224609	-1.00781	-0.00543213	-0.00531006	0.0067749	-4050.29	2925	449.707
0.191162	-0.0302734	-1.01636	-0.00592041	-0.00421143	0.00769043	-3300.29	2925	449.707
0.192871	-0.03125	-1.01318	-0.00488281	-0.00592041	0.00640869	-3375.29	3150	524.707
0.197754	-0.0236816	-1.00806	-0.00476074	-0.0065918	0.00842285	-3825.29	2850	374.707
0.192871	-0.0332031	-1.01392	-0.00488281	-0.00457764	0.00708008	-3525.29	3000	374.707
0.179932	-0.0336914	-1.0083	-0.00604248	-0.00463867	0.00787354	-3525.29	3300	224.707
0.207275	-0.0253906	-1.04834	0.0136719	-0.0157471	0.0116577	-3525.29	3000	224.707
0.191895	-0.0241699	-0.964111	-0.00164795	-0.0204468	0.00720215	-3750.29	2625	599.707
0.200928	-0.0446777	-1.06055	-0.00561523	-0.00811768	0.00720215	-3750.29	2925	299.707
0.189209	-0.027832	-1.01758	0.000427246	-0.00897217	0.00793457	-3525.29	3000	524.707
0.190918	-0.0305176	-0.987793	-0.0057373	-0.00622559	0.00738525	-3225.29	2850	224.707
0.190186	-0.0283203	-1.04443	-0.00506592	-0.00537109	0.00811768	-3150.29	3225	149.707
0.202881	-0.0341797	-1.04175	0.0098877	-0.0145874	0.0112305	-3450.29	3075	599.707
0.185059	-0.0314941	-0.98291	-0.00219727	-0.0194092	0.00854492	-3975.29	2850	824.707
0.197998	-0.0339355	-1.0376	-0.00537109	-0.00469971	0.00732422	-3600.29	3075	299.707
0.199219	-0.0275879	-1.01343	-0.00274658	-0.00872803	0.00958252	-3600.29	2925	599.707
0.18457	-0.0300293	-1.01172	-0.00610352	-0.00494385	0.00524902	-3525.29	2850	224.707
0.19458	-0.0283203	-1.02612	-0.0057373	-0.00506592	0.00854492	-3300.29	3375	149.707
0.193604	-0.0268555	-1.00732	-0.00408936	-0.00952148	0.00787354	-3600.29	2925	749.707
0.186279	-0.0285645	-1.00854	-0.00506592	-0.00415039	0.00921631	-3375.29	3000	74.707
0.191895	-0.0290527	-1.00977	-0.00402832	-0.00524902	0.00756836	-3300.29	2475	599.707
0.189941	-0.0307617	-1.00684	-0.00384521	-0.00500488	0.0067749	-3450.29	3075	149.707
0.194336	-0.0307617	-1.0105	-0.00457764	-0.00372314	0.00616455	-3450.29	2925	299.707
0.187988	-0.029541	-1.01758	-0.00549316	-0.00732422	0.00708008	-3825.29	3000	74.707
0.186768	-0.0288086	-1.0105	-0.00476074	-0.00500488	0.00738525	-3300.29	3075	299.707
0.195313	-0.0209961	-1.01953	-0.00567627	-0.00695801	0.00762939	-3675.29	2850	224.707
0.20459	-0.0302734	-1.01123	-0.00445557	-0.00427246	0.00598145	-3675.29	3000	524.707
0.190918	-0.0327148	-1.01123	-0.00427246	-0.00598145	0.00811768	-3600.29	2925	599.707
0.194824	-0.0275879	-1.01489	-0.00598145	-0.00646973	0.00799561	-3375.29	2700	224.707
0.192383	-0.0263672	-1.01611	-0.0045166	-0.0057373	0.00646973	-3525.29	2850	374.707
0.193115	-0.0310059	-1.01953	-0.00463867	-0.00445557	0.00543213	-3675.29	3000	374.707
0.189941	-0.029541	-1.01196	-0.00537109	-0.00695801	0.00872803	-3675.29	3300	674.707
0.192871	-0.0283203	-1.01343	-0.00488281	-0.00592041	0.0067749	-3600.29	2925	599.707
0.193115	-0.0275879	-1.00977	-0.00500488	-0.00622559	0.00646973	-3525.29	2700	74.707
0.184814	-0.0297852	-1.00684	-0.00463867	-0.00720215	0.00726318	-3600.29	2925	299.707
